Date,WBD,PARA,APA,WBA,PCG,VTRS,BIIB
2014-01-01,44.425140380859375,50.812015533447266,67.37987518310547,38.42402267456055,34.96293640136719,35.94365310668945,273.5199890136719
2014-01-08,42.227901458740234,48.62334060668945,65.6858139038086,40.087650299072266,35.21635437011719,38.65322494506836,297.4700012207031
2014-01-15,41.185489654541016,47.861724853515625,64.76592254638672,39.2391471862793,36.06399154663086,38.845577239990234,310.5
2014-01-22,39.836483001708984,47.06002426147461,62.9962158203125,38.09664535522461,35.83678436279297,37.382080078125,305.6499938964844
2014-01-29,39.87225341796875,46.394622802734375,60.314720153808594,37.38174819946289,36.07272720336914,36.503971099853516,308.17999267578125
2014-02-05,42.29432678222656,48.82377243041992,62.527523040771484,42.893798828125,37.08639144897461,38.0427360534668,319.82000732421875
2014-02-12,41.047523498535156,53.14495849609375,64.01808166503906,43.12095642089844,38.01267623901367,40.3927001953125,334.9800109863281
2014-02-19,41.73735427856445,52.72005844116211,63.84137725830078,44.947566986083984,38.2661018371582,42.92665481567383,346.29998779296875
2014-02-26,42.90751266479492,54.050880432128906,61.83603286743164,46.384281158447266,38.3709602355957,47.83566665649414,343.1499938964844
2014-03-05,43.254981994628906,52.984622955322266,61.1214599609375,44.658878326416016,37.58448791503906,45.151180267333984,335.989990234375
2014-03-12,42.76954650878906,53.2475700378418,61.497928619384766,45.115413665771484,38.89527893066406,45.0759162902832,351.94000244140625
2014-03-19,42.42207336425781,50.70967483520508,62.95012664794922,44.59175491333008,39.07004928588867,42.40815734863281,311.7799987792969
2014-03-26,42.82575225830078,50.74982452392578,64.35616302490234,44.19565200805664,37.02521514892578,41.23735427856445,309.7900085449219
2014-04-02,41.093509674072266,48.57334899902344,65.44719696044922,42.846214294433594,39.387386322021484,39.84074783325195,285.9200134277344
2014-04-09,39.24374008178711,47.521244049072266,64.02581787109375,44.31650161743164,39.970115661621094,38.661590576171875,285.489990234375
2014-04-16,39.6320915222168,48.00312423706055,66.23092651367188,45.23626708984375,39.45802688598633,41.68894958496094,306.20001220703125
2014-04-23,38.68165588378906,46.13986587524414,67.6843490600586,45.19597244262695,40.04075241088867,42.55033493041992,290.8399963378906
2014-04-30,38.175777435302734,45.60979080200195,66.5977554321289,46.1761589050293,39.12251663208008,40.543235778808594,285.94000244140625
2014-05-07,37.19979476928711,45.7784538269043,69.37203216552734,46.706546783447266,38.14246368408203,39.78221130371094,295.8500061035156
2014-05-14,37.67501449584961,45.850738525390625,69.14856719970703,46.24330520629883,38.522117614746094,38.62812805175781,289.7900085449219
2014-05-21,40.1124153137207,48.55727767944336,69.63404083251953,47.376556396484375,39.5374870300293,40.4930534362793,309.7699890136719
2014-05-28,39.770057678222656,47.88265609741211,70.89785766601562,48.266883850097656,40.29679870605469,41.73076629638672,316.8599853515625
2014-06-04,41.06285095214844,49.095394134521484,73.24830627441406,50.41178894042969,40.76475143432617,41.16209030151367,315.44000244140625
2014-06-11,39.417476654052734,48.37215042114258,75.52165985107422,49.30561065673828,41.39163589477539,42.39979553222656,304.7900085449219
2014-06-18,37.98671340942383,47.350154876708984,76.17667388916016,48.88743591308594,42.14211654663086,43.13573455810547,314.2300109863281
2014-06-25,38.42105484008789,50.633453369140625,77.4559326171875,49.76426315307617,41.70065689086914,43.394981384277344,324.739990234375
2014-07-02,38.758304595947266,51.01167678833008,75.87614440917969,47.97012710571289,41.738460540771484,42.04018783569336,317.5899963378906
2014-07-09,40.13285446166992,47.88129425048828,75.47542572021484,48.28712463378906,42.15745544433594,43.62914276123047,312.0
2014-07-16,42.774654388427734,47.80080795288086,79.46728515625,49.143741607666016,42.04157257080078,43.537139892578125,303.6700134277344
2014-07-23,42.3760871887207,46.255733489990234,78.27801513671875,47.322601318359375,41.54234313964844,42.14890670776367,341.7300109863281
2014-07-30,43.05058670043945,45.861412048339844,76.77916717529297,46.621124267578125,38.98382568359375,40.53487014770508,325.2300109863281
2014-08-06,42.31999969482422,47.406490325927734,76.07613372802734,41.926639556884766,39.15320587158203,37.60786437988281,324.9599914550781
2014-08-13,44.43000030517578,48.879150390625,76.69418334960938,41.91989517211914,40.77568435668945,39.338985443115234,345.8399963378906
2014-08-20,44.09000015258789,48.29973602294922,78.45569610595703,41.32202911376953,40.48149871826172,40.3927001953125,342.989990234375
2014-08-27,44.0099983215332,47.34211349487305,77.38178253173828,40.69809341430664,42.15745544433594,40.71049118041992,342.67999267578125
2014-09-03,40.90999984741211,46.56153869628906,75.02542114257812,42.46138381958008,41.8989372253418,39.698585510253906,326.8299865722656
2014-09-10,39.459999084472656,45.90492248535156,75.57396697998047,43.159915924072266,40.9718132019043,40.108360290527344,326.8800048828125
2014-09-17,38.220001220703125,44.396270751953125,73.44161987304688,41.43730926513672,40.392356872558594,38.979373931884766,332.239990234375
2014-09-24,37.79999923706055,43.16191101074219,72.52226257324219,40.19623565673828,40.15166091918945,38.0427360534668,330.80999755859375
2014-10-01,36.20000076293945,42.08084487915039,65.05911254882812,40.58279800415039,39.97032928466797,41.93147659301758,315.9200134277344
2014-10-08,34.310001373291016,40.28177261352539,57.480106353759766,41.15925979614258,41.3212776184082,39.155006408691406,301.5799865722656
2014-10-15,36.2400016784668,43.758914947509766,58.35309982299805,41.74250411987305,40.970035552978516,43.52878189086914,326.7699890136719
2014-10-22,37.2400016784668,43.62177276611328,58.3292236328125,43.20060348510742,42.79833221435547,43.244441986083984,318.0299987792969
2014-10-29,33.310001373291016,41.943702697753906,57.53072738647461,44.245018005371094,45.644351959228516,44.95048141479492,322.05999755859375
