Date,BRK-B,V,JNJ,UNH,XOM,BA,DIS
2014-01-01,116.19000244140625,51.07682418823242,68.47844696044922,63.923683166503906,62.431087493896484,120.08987426757812,69.10491180419922
2014-01-08,114.95999908447266,51.339691162109375,68.79074096679688,61.84331512451172,61.22658920288086,119.66255950927734,67.3940200805664
2014-01-15,115.1500015258789,53.479522705078125,68.28963470458984,61.124794006347656,60.84361267089844,121.08131408691406,67.16773223876953
2014-01-22,112.01000213623047,50.95000457763672,65.43545532226562,59.913307189941406,59.083160400390625,117.16692352294922,65.97282409667969
2014-01-29,109.12999725341797,49.469642639160156,62.908084869384766,58.91074752807617,55.605491638183594,104.30410766601562,64.31627655029297
2014-02-05,113.61000061035156,51.26589584350586,67.51981353759766,59.002662658691406,56.112037658691406,111.24402618408203,70.41748809814453
2014-02-12,114.7300033569336,52.125980377197266,66.93879699707031,61.68458938598633,58.51874542236328,111.64573669433594,72.037841796875
2014-02-19,113.94000244140625,52.46247863769531,66.16896057128906,62.92947769165039,59.91219711303711,108.96637725830078,72.6081314086914
2014-02-26,118.56999969482422,52.09056854248047,68.27631378173828,65.2771987915039,60.042823791503906,111.93163299560547,73.96597290039062
2014-03-05,124.69000244140625,52.47865676879883,68.3860092163086,64.98478698730469,58.481441497802734,108.01233673095703,73.36851501464844
2014-03-12,123.27999877929688,52.30078125,68.71519470214844,65.1686019897461,58.91685104370117,106.61136627197266,74.21943664550781
2014-03-19,124.47000122070312,50.450477600097656,71.23147583007812,68.00341796875,59.04128646850586,106.59417724609375,72.01069641113281
2014-03-26,124.87999725341797,49.59577178955078,71.64111328125,68.6239013671875,60.7955436706543,110.19547271728516,73.83924865722656
2014-04-02,123.12999725341797,46.7983512878418,71.72887420654297,67.63450622558594,60.621360778808594,106.70590209960938,72.0287857055664
2014-04-09,123.7699966430664,47.13560485839844,72.56278228759766,66.67021179199219,61.386512756347656,106.8090591430664,70.29981994628906
2014-04-16,127.1500015258789,48.503135681152344,73.27964782714844,63.52577209472656,62.43782424926758,109.6281967163086,71.92015838623047
2014-04-23,128.49000549316406,46.81684112548828,73.90138244628906,63.056190490722656,63.10967254638672,110.33296203613281,71.18693542480469
2014-04-30,124.66999816894531,47.43822479248047,72.78955078125,63.10654067993164,63.868614196777344,112.44731903076172,73.35041046142578
2014-05-07,127.88999938964844,48.98591995239258,73.8940658569336,65.43756866455078,63.67575454711914,114.69918823242188,74.30091094970703
2014-05-14,126.05999755859375,48.029579162597656,73.33082580566406,64.28042602539062,63.04961013793945,111.99787139892578,73.40473175048828
2014-05-21,127.5199966430664,49.64319610595703,73.74047088623047,66.33477783203125,63.481781005859375,115.96507263183594,75.8035888671875
2014-05-28,126.93000030517578,48.907257080078125,75.46976470947266,66.9804458618164,62.87428283691406,117.4430923461914,75.9303207397461
2014-06-04,128.25,49.58533477783203,76.67770385742188,66.9217300415039,63.54443359375,118.62715911865234,76.71785736083984
2014-06-11,126.02999877929688,48.78920364379883,75.0793685913086,65.54657745361328,64.14566802978516,114.47847747802734,75.27855682373047
2014-06-18,126.77999877929688,48.090274810791016,77.03865051269531,68.8621826171875,64.3398208618164,111.62621307373047,74.84403991699219
2014-06-25,127.23999786376953,49.58533477783203,77.98147583007812,68.9885482788086,63.481781005859375,110.76190948486328,78.27484130859375
2014-07-02,128.22000122070312,49.8191032409668,77.87097930908203,69.02225494384766,64.4024429321289,109.58645629882812,77.72265625
2014-07-09,128.49000549316406,51.32807159423828,76.07374572753906,70.68189239501953,64.12687683105469,111.58302307128906,77.98517608642578
2014-07-16,128.4199981689453,51.20772933959961,75.47710418701172,72.49315643310547,64.84709930419922,112.13616943359375,78.03948211669922
2014-07-23,127.36000061035156,49.411773681640625,75.1014404296875,70.99359893798828,64.85338592529297,105.72296905517578,78.0304183959961
2014-07-30,127.98999786376953,48.72671127319336,73.52515411376953,68.23036193847656,61.50266647338867,104.81542205810547,78.52831268310547
2014-08-06,133.05999755859375,48.67116928100586,74.12178039550781,67.58163452148438,61.68430709838867,104.12398529052734,78.94471740722656
2014-08-13,134.89999389648438,49.75893783569336,75.83802795410156,70.31961059570312,62.74464797973633,109.19795989990234,81.5517578125
2014-08-20,136.25,50.25489044189453,76.19157409667969,71.70967864990234,62.839271545410156,111.82400512695312,81.48838806152344
2014-08-27,137.9600067138672,49.79114532470703,76.6476058959961,72.77960968017578,62.114009857177734,109.11100006103516,82.1944808959961
2014-09-03,136.88999938964844,49.686798095703125,76.97392272949219,74.60773468017578,61.42026901245117,111.48487854003906,81.10820770263672
2014-09-10,138.69000244140625,50.387062072753906,78.51634216308594,73.42830657958984,61.44550704956055,110.71096801757812,81.7146987915039
2014-09-17,138.77999877929688,49.26477813720703,79.68799591064453,73.2582778930664,60.56257247924805,110.76314544677734,79.94046020507812
2014-09-24,138.13999938964844,49.475799560546875,79.04286193847656,72.97064971923828,59.31385803222656,110.76314544677734,80.59221649169922
2014-10-01,136.72000122070312,48.24219512939453,75.92829895019531,71.22781372070312,58.88502883911133,107.23278045654297,78.85419464111328
2014-10-08,137.38999938964844,47.006290435791016,71.938720703125,70.0687484741211,57.10654830932617,106.33715057373047,76.1656723022461
2014-10-15,138.97000122070312,49.46187973022461,74.4229507446289,76.94701385498047,59.061588287353516,110.53706359863281,79.24343872070312
2014-10-22,140.4600067138672,50.25026321411133,77.7080307006836,78.37684631347656,59.97605514526367,107.48495483398438,81.40692138671875
2014-10-29,142.17999267578125,56.33937454223633,80.54823303222656,80.35653686523438,59.61025619506836,109.42404174804688,81.78712463378906
